COMPANY_CODE,PART_NO,YEAR,ANT_0,ANT_1,ANT_2,ANT_3,ANT_4,ANT_5,ANT_6,ANT_7,ANT_8,ANT_9,ANT_10,ANT_11,ANT_12,ANT_13,CON_0,CON_1,CON_2,CON_3,CON_4,CON_5,CON_6,CON_7,CON_8,CON_9,CON_10,CON_11,CON_12,CON_13,SUPPORT,ANT_COUNT,COMBO_COUNT,PERCENT
95018-3,CP96SDB32-50C,2019,CP96SDB32-50C, , , , , , , , , , , , , ,D-M9PL, , , , , , , , , , , , , ,0.23076923076923078,39,9,23.076923076923077
95018-3,CP96SDB32-50C,2019,CP96SDB32-50C,KQ2L08-U02A,KQ2H08-U02A, , , , , , , , , , , ,KQ2H06-U02A, , , , , , , , , , , , , ,0.20512820512820512,8,8,100.0
95018-3,CP96SDB32-50C,2019,CP96SDB32-50C,KQ2L08-U02A,KQ2H06-U02A, , , , , , , , , , , ,KQ2H08-U02A, , , , , , , , , , , , , ,0.20512820512820512,8,8,100.0
95018-3,CP96SDB32-50C,2019,CP96SDB32-50C,KQ2H08-U02A,KQ2H06-U02A, , , , , , , , , , , ,KQ2L08-U02A, , , , , , , , , , , , , ,0.20512820512820512,9,8,88.88888888888889
95018-3,CP96SDB32-50C,2019,CP96SDB32-50C,KQ2L08-U02A, , , , , , , , , , , , ,KQ2H08-U02A,KQ2H06-U02A, , , , , , , , , , , , ,0.20512820512820512,8,8,100.0
95018-3,CP96SDB32-50C,2019,CP96SDB32-50C,KQ2H08-U02A, , , , , , , , , , , , ,KQ2L08-U02A,KQ2H06-U02A, , , , , , , , , , , , ,0.20512820512820512,11,8,72.72727272727273
95018-3,CP96SDB32-50C,2019,CP96SDB32-50C,KQ2H06-U02A, , , , , , , , , , , , ,KQ2L08-U02A,KQ2H08-U02A, , , , , , , , , , , , ,0.20512820512820512,12,8,66.66666666666666
95018-3,CP96SDB32-50C,2019,CP96SDB32-50C, , , , , , , , , , , , , ,KQ2L08-U02A,KQ2H08-U02A,KQ2H06-U02A, , , , , , , , , , , ,0.20512820512820512,39,8,20.51282051282051
95018-3,CP96SDB32-50C,2019,CD85N25-50-B,CP96SDB32-50C, , , , , , , , , , , , ,KQ2H08-U02A, , , , , , , , , , , , , ,0.20512820512820512,9,8,88.88888888888889
95018-3,CP96SDB32-50C,2019,CP96SDB32-50C,KQ2H08-U02A, , , , , , , , , , , , ,CD85N25-50-B, , , , , , , , , , , , , ,0.20512820512820512,11,8,72.72727272727273
95018-3,CP96SDB32-50C,2019,CP96SDB32-50C, , , , , , , , , , , , , ,CD85N25-50-B,KQ2H08-U02A, , , , , , , , , , , , ,0.20512820512820512,39,8,20.51282051282051
95018-3,CP96SDB32-50C,2019,CP96SDB32-50C, , , , , , , , , , , , , ,AN10-01, , , , , , , , , , , , , ,0.20512820512820512,39,8,20.51282051282051
95018-3,CP96SDB32-50C,2019,AS2201F-U01-10A,CP96SDB32-50C,AS4201F-U04-12A, , , , , , , , , , , ,CP96SDB40-50C, , , , , , , , , , , , , ,0.20512820512820512,8,8,100.0
95018-3,CP96SDB32-50C,2019,CP96SDB32-50C,KQ2H08-U02A, , , , , , , , , , , , ,AS2201F-U01-06A, , , , , , , , , , , , , ,0.20512820512820512,11,8,72.72727272727273
95018-3,CP96SDB32-50C,2019,CP96SDB32-50C,AS2201F-U01-06A, , , , , , , , , , , , ,KQ2H08-U02A, , , , , , , , , , , , , ,0.20512820512820512,8,8,100.0
95018-3,CP96SDB32-50C,2019,CP96SDB32-50C, , , , , , , , , , , , , ,KQ2H08-U02A,AS2201F-U01-06A, , , , , , , , , , , , ,0.20512820512820512,39,8,20.51282051282051
95018-3,CP96SDB32-50C,2019,AS2201F-U01-10A,CP96SDB40-50C,CP96SDB32-50C, , , , , , , , , , , ,AS4201F-U04-12A, , , , , , , , , , , , , ,0.20512820512820512,8,8,100.0
95018-3,CP96SDB32-50C,2019,CP96SDB40-50C,AS4201F-U04-12A,CP96SDB32-50C, , , , , , , , , , , ,AS2201F-U01-10A, , , , , , , , , , , , , ,0.20512820512820512,8,8,100.0
95018-3,CP96SDB32-50C,2019,CP96SDB32-50C, , , , , , , , , , , , , ,KQ2H10-U02A, , , , , , , , , , , , , ,0.20512820512820512,39,8,20.51282051282051
95018-3,CP96SDB32-50C,2019,CP96SDB40-50C,CP96SDB32-50C, , , , , , , , , , , , ,AS2201F-U01-10A,AS4201F-U04-12A, , , , , , , , , , , , ,0.20512820512820512,9,8,88.88888888888889
95018-3,CP96SDB32-50C,2019,AS2201F-U01-10A,CP96SDB32-50C, , , , , , , , , , , , ,CP96SDB40-50C,AS4201F-U04-12A, , , , , , , , , , , , ,0.20512820512820512,8,8,100.0
