COMPANY_CODE,PART_NO,YEAR,ANT_0,ANT_1,ANT_2,ANT_3,ANT_4,ANT_5,ANT_6,ANT_7,ANT_8,ANT_9,ANT_10,ANT_11,ANT_12,ANT_13,CON_0,CON_1,CON_2,CON_3,CON_4,CON_5,CON_6,CON_7,CON_8,CON_9,CON_10,CON_11,CON_12,CON_13,SUPPORT,ANT_COUNT,COMBO_COUNT,PERCENT
95018-3,AW20-F02BG1-B,2018,AW20-F02BG1-B, , , , , , , , , , , , , ,AC40A-04G1-B, , , , , , , , , , , , , ,0.14285714285714285,14,2,14.285714285714285
95018-3,AW20-F02BG1-B,2018,KQ2T08-00A,AW20-F02BG1-B, , , , , , , , , , , , ,KQ2L08-U02A,KQ2H08-U02A, , , , , , , , , , , , ,0.14285714285714285,3,2,66.66666666666666
95018-3,AW20-F02BG1-B,2018,KQ2L08-U02A,AW20-F02BG1-B, , , , , , , , , , , , ,KQ2T08-00A,KQ2H08-U02A, , , , , , , , , , , , ,0.14285714285714285,5,2,40.0
95018-3,AW20-F02BG1-B,2018,KQ2T08-00A,AW20-F02BG1-B,KQ2H08-U02A, , , , , , , , , , , ,KQ2L08-U02A, , , , , , , , , , , , , ,0.14285714285714285,2,2,100.0
95018-3,AW20-F02BG1-B,2018,KQ2L08-U02A,AW20-F02BG1-B,KQ2H08-U02A, , , , , , , , , , , ,KQ2T08-00A, , , , , , , , , , , , , ,0.14285714285714285,2,2,100.0
95018-3,AW20-F02BG1-B,2018,KQ2L08-U02A,KQ2T08-00A,AW20-F02BG1-B, , , , , , , , , , , ,KQ2H08-U02A, , , , , , , , , , , , , ,0.14285714285714285,2,2,100.0
95018-3,AW20-F02BG1-B,2018,AW20-F02BG1-B, , , , , , , , , , , , , ,KQ2L08-U02A,TU0805BU-20, , , , , , , , , , , , ,0.14285714285714285,14,2,14.285714285714285
95018-3,AW20-F02BG1-B,2018,AW20-F02BG1-B,TU0805BU-20, , , , , , , , , , , , ,KQ2L08-U02A, , , , , , , , , , , , , ,0.14285714285714285,2,2,100.0
95018-3,AW20-F02BG1-B,2018,KQ2L08-U02A,AW20-F02BG1-B, , , , , , , , , , , , ,TU0805BU-20, , , , , , , , , , , , , ,0.14285714285714285,5,2,40.0
95018-3,AW20-F02BG1-B,2018,AW20-F02BG1-B, , , , , , , , , , , , , ,TU0805BU-100, , , , , , , , , , , , , ,0.14285714285714285,14,2,14.285714285714285
